Loyalty#,Cust_ID,Income,Order Year,Quarter,MonthsAsMember,LoyaltyStatus,Product Line,Quantity Sold,Unit Sale Price,Unit Cost,Revenue,Customer Lifetime Value,Loyalty Count
504521,50,61897,2016,Q3,46,Bronze,Computers and Home Office,2,"1,347","1,145","2,694",8703.73,1
597823,51,24317,2016,Q3,66,Bronze,Computers and Home Office,3,215,183,645,5850.45,1
939289,52,59038,2016,Q3,56,Bronze,Computers and Home Office,1,"1,099",934,"1,099",4236.47,1
751072,53,21604,2016,Q3,55,Bronze,Computers and Home Office,1,582,495,582,3096.51,1
249487,54,0,2016,Q3,47,Gold,Computers and Home Office,2,"1,361","1,157","2,722",14070.64,1
243376,55,50843,2016,Q3,58,Bronze,Computers and Home Office,3,"1,232","1,047","3,696",6332.94,1
833317,56,28227,2016,Q3,63,Bronze,Computers and Home Office,2,"1,340","1,139","2,680",7119.53,1
220741,57,0,2016,Q3,53,Bronze,Computers and Home Office,1,"1,448","1,231","1,448",2274.67,1
329125,58,78358,2016,Q3,46,Bronze,Computers and Home Office,3,460,391,"1,380",10307.65,1
949620,59,97361,2016,Q3,31,Bronze,Computers and Home Office,2,669,569,"1,338",8622.84,1
921760,60,16040,2016,Q3,56,Bronze,Computers and Home Office,2,"1,362","1,158","2,724",10614.64,1
508241,61,76717,2016,Q3,46,Elite,Computers and Home Office,6,901,766,"5,406",5326.68,1
699153,62,0,2016,Q3,51,Bronze,Computers and Home Office,2,523,445,"1,046",7281.44,1
607696,63,0,2016,Q3,42,Bronze,Computers and Home Office,3,967,822,"2,901",5002.09,1
905397,64,69231,2016,Q3,26,Elite,Computers and Home Office,9,334,284,"3,006",5233.95,1
994984,65,62777,2016,Q3,34,Bronze,Computers and Home Office,1,455,387,455,2656.71,1
390343,66,70263,2016,Q3,46,Bronze,Computers and Home Office,5,"1,456","1,238","7,280",7462.93,1
170639,67,16181,2016,Q3,70,Bronze,Computers and Home Office,8,"1,091",927,"8,728",13736.13,1
147024,68,89672,2016,Q3,52,Silver,Computers and Home Office,1,183,156,183,2913.49,1
235454,69,53503,2016,Q3,53,Elite,Computers and Home Office,7,"1,424","1,210","9,968",8873.53,1
808330,70,37273,2016,Q3,42,Elite,Computers and Home Office,1,438,372,438,3499.14,1
815564,71,14278,2016,Q3,39,Bronze,Computers and Home Office,2,604,513,"1,208",25626.71,1
664073,72,71210,2016,Q3,56,Bronze,Computers and Home Office,2,181,154,362,25807.06,1
154175,73,20742,2016,Q3,49,Bronze,Computers and Home Office,2,"1,015",863,"2,030",11177.75,1
131664,74,57474,2016,Q3,67,Bronze,Computers and Home Office,3,452,384,"1,356",7781.9,1
590172,75,0,2016,Q3,58,Bronze,Computers and Home Office,8,"1,386","1,178","11,088",6511.1,1
392209,76,50071,2016,Q3,48,Bronze,Computers and Home Office,1,38,32,38,2771.05,1
918631,77,25852,2016,Q3,35,Bronze,Computers and Home Office,2,479,407,958,15266.48,1
321775,78,27972,2016,Q3,54,Silver,Computers and Home Office,8,392,333,"3,136",6966.32,1
490860,79,86305,2016,Q3,60,Bronze,Computers and Home Office,5,711,604,"3,555",4984.62,1
577223,80,64125,2016,Q3,46,Bronze,Computers and Home Office,3,"1,269","1,079","3,807",8646.5,1
169134,81,50941,2016,Q3,60,Platinum,Computers and Home Office,2,584,496,"1,168",10551.15,1
346876,82,88997,2016,Q3,30,Bronze,Computers and Home Office,3,"1,125",956,"3,375",5757.44,1
214878,83,0,2016,Q3,60,Bronze,Computers and Home Office,2,973,827,"1,946",8715.95,1
434363,84,32471,2016,Q3,55,Bronze,Computers and Home Office,1,652,554,652,4220.61,1
238939,85,67371,2016,Q3,66,Bronze,Computers and Home Office,3,94,80,282,5059.33,1
370124,86,0,2016,Q3,37,Silver,Computers and Home Office,1,383,326,383,1940.98,1
755389,87,17301,2016,Q3,26,Bronze,Computers and Home Office,5,114,97,570,8053.27,1
992531,88,19651,2016,Q3,41,Bronze,Computers and Home Office,5,914,777,"4,570",5595.97,1
906018,89,99002,2016,Q3,63,Silver,Computers and Home Office,8,"1,172",996,"9,376",9027.87,1
512070,90,0,2016,Q3,64,Gold,Computers and Home Office,3,664,564,"1,992",4185.76,1
576032,91,0,2016,Q3,63,Bronze,Computers and Home Office,5,"1,438","1,222","7,190",5504.14,1
159209,92,23904,2016,Q3,36,Silver,Computers and Home Office,1,687,584,687,4334.06,1
382475,93,47761,2016,Q3,46,Bronze,Computers and Home Office,1,922,784,922,4100.4,1
287088,94,17576,2016,Q3,59,Bronze,Computers and Home Office,1,471,400,471,2722.21,1
598875,95,61233,2016,Q3,53,Elite,Computers and Home Office,7,648,551,"4,536",7124.2,1
421284,96,29593,2016,Q3,46,Silver,Computers and Home Office,2,"1,286","1,093","2,572",16159.54,1
866462,97,26173,2016,Q3,58,Bronze,Computers and Home Office,9,349,297,"3,141",5116.62,1
204812,98,38795,2016,Q3,58,Bronze,Computers and Home Office,3,319,271,957,6519.29,1
677582,99,0,2016,Q3,38,Elite,Computers and Home Office,7,492,418,"3,444",5098.85,1
593044,100,67163,2016,Q3,42,Bronze,Computers and Home Office,5,566,481,"2,830",4879.38,1
536843,101,0,2016,Q3,61,Gold,Computers and Home Office,3,"1,094",930,"3,282",8229.24,1
828959,102,85702,2016,Q3,49,Gold,Computers and Home Office,6,193,164,"1,158",5441.42,1
182162,103,88340,2016,Q3,69,Bronze,Computers and Home Office,2,978,831,"1,956",12280.77,1
216072,104,93210,2016,Q3,55,Bronze,Computers and Home Office,2,981,834,"1,962",11430.59,1
273984,105,29401,2016,Q3,46,Silver,Computers and Home Office,4,"1,497","1,272","5,988",5048.23,1
310989,106,65709,2016,Q3,38,Bronze,Computers and Home Office,3,127,108,381,5771.61,1
441227,107,45963,2016,Q3,42,Bronze,Computers and Home Office,2,525,446,"1,050",14914.53,1
705719,108,36631,2016,Q3,33,Bronze,Computers and Home Office,1,291,247,291,2491.32,1
669947,109,20978,2016,Q3,49,Bronze,Computers and Home Office,2,545,463,"1,090",13569.24,1
866306,110,75090,2016,Q3,47,Silver,Computers and Home Office,7,"1,280","1,088","8,960",4993.03,1
115196,111,72264,2016,Q3,58,Bronze,Computers and Home Office,9,715,608,"6,435",5138.24,1
286006,112,0,2016,Q3,52,Bronze,Computers and Home Office,1,701,596,701,3164.38,1
252211,113,81190,2016,Q3,40,Silver,Computers and Home Office,1,"1,457","1,238","1,457",3713.79,1
127152,114,86863,2016,Q3,47,Bronze,Computers and Home Office,3,"1,407","1,196","4,221",7437.69,1
671799,115,84429,2016,Q3,32,Bronze,Computers and Home Office,6,924,785,"5,544",9802.55,1
865280,116,0,2016,Q3,37,Bronze,Computers and Home Office,2,926,787,"1,852",11003.54,1
344934,117,0,2016,Q3,57,Bronze,Computers and Home Office,2,380,323,760,6462.22,1
149462,118,74487,2016,Q3,50,Silver,Computers and Home Office,3,914,777,"2,742",6960.92,1
947843,119,0,2016,Q3,56,Elite,Computers and Home Office,7,767,652,"5,369",5325.72,1
284136,120,52721,2016,Q3,29,Bronze,Computers and Home Office,1,645,548,645,5438.7,1
574997,121,0,2016,Q3,58,Silver,Computers and Home Office,1,"1,147",975,"1,147",4471.78,1
780351,122,70795,2016,Q3,36,Bronze,Computers and Home Office,4,714,607,"2,856",5481.5,1
456259,123,68849,2016,Q3,47,Gold,Computers and Home Office,2,"1,408","1,197","2,816",8044.51,1
731557,124,94880,2016,Q3,49,Gold,Computers and Home Office,3,"1,441","1,225","4,323",6271.32,1
464035,125,39602,2016,Q3,53,Elite,Computers and Home Office,2,551,468,"1,102",7488.79,1
407285,126,0,2016,Q3,41,Bronze,Computers and Home Office,7,341,290,"2,387",4899.23,1
917610,127,17672,2016,Q3,44,Gold,Computers and Home Office,1,200,170,200,3993.88,1
183783,128,60244,2016,Q3,47,Bronze,Computers and Home Office,1,804,683,804,3238,1
102284,129,0,2016,Q3,46,Bronze,Computers and Home Office,2,660,561,"1,320",7416.47,1
342569,130,67616,2016,Q3,38,Bronze,Computers and Home Office,2,947,805,"1,894",11599.5,1
115707,131,44368,2016,Q3,27,Silver,Computers and Home Office,3,801,681,"2,403",6366.23,1
144303,132,46814,2016,Q3,35,Bronze,Computers and Home Office,3,436,371,"1,308",8901.06,1
788997,133,35133,2016,Q3,29,Bronze,Computers and Home Office,2,638,542,"1,276",12232.78,1
712721,134,22571,2016,Q3,54,Bronze,Computers and Home Office,9,513,436,"4,617",4605.04,1
607571,135,61374,2016,Q3,34,Bronze,Computers and Home Office,3,371,315,"1,113",9002.12,1
171208,136,36529,2016,Q3,43,Bronze,Computers and Home Office,1,917,779,917,4762.16,1
244788,137,51991,2016,Q3,56,Bronze,Computers and Home Office,1,"1,123",955,"1,123",2927.73,1
491351,138,0,2016,Q3,53,Bronze,Computers and Home Office,8,"1,299","1,104","10,392",5392.5,1
765033,139,72669,2016,Q3,54,Gold,Computers and Home Office,1,922,784,922,2980.46,1
111493,140,88592,2016,Q3,44,Elite,Computers and Home Office,2,837,711,"1,674",18321.42,1
754613,141,22331,2016,Q3,26,Bronze,Computers and Home Office,1,867,737,867,2487.36,1
527558,142,29504,2016,Q3,63,Elite,Computers and Home Office,2,322,274,644,13220.8,1
288307,143,48269,2016,Q3,44,Bronze,Computers and Home Office,1,575,489,575,2683.47,1
340823,144,57245,2016,Q3,44,Bronze,Computers and Home Office,2,"1,158",984,"2,316",19327.87,1
610216,145,81082,2016,Q3,60,Silver,Computers and Home Office,4,761,647,"3,044",5838.9,1
327408,146,78046,2016,Q3,57,Bronze,Computers and Home Office,2,487,414,974,14230.32,1
577167,147,0,2016,Q3,63,Bronze,Computers and Home Office,6,960,816,"5,760",7017.15,1
354458,148,0,2016,Q3,44,Bronze,Computers and Home Office,2,"1,437","1,221","2,874",9321.28,1
415090,149,65629,2016,Q3,54,Elite,Computers and Home Office,3,865,735,"2,595",5150.42,1
405083,150,0,2016,Q3,55,Bronze,Computers and Home Office,2,"1,476","1,255","2,952",7224.24,1
419786,151,0,2016,Q3,58,Bronze,Computers and Home Office,1,"1,472","1,251","1,472",2326.86,1
338355,152,23665,2016,Q3,64,Bronze,Computers and Home Office,2,"1,255","1,067","2,510",22658.54,1
691803,153,41701,2016,Q3,41,Bronze,Computers and Home Office,2,578,491,"1,156",8113.96,1
985440,154,14290,2016,Q3,42,Bronze,Computers and Home Office,1,627,533,627,10179.72,1
640127,155,0,2016,Q3,43,Silver,Computers and Home Office,9,779,662,"7,011",6234.31,1
650792,156,22981,2016,Q3,44,Bronze,Computers and Home Office,1,"1,484","1,261","1,484",2393.12,1
838535,157,69011,2016,Q3,57,Bronze,Computers and Home Office,2,142,121,284,8274.15,1
804975,158,66014,2016,Q3,62,Gold,Computers and Home Office,2,352,299,704,32961.15,1
979195,159,54054,2016,Q3,60,Elite,Computers and Home Office,1,960,816,960,4014.33,1
691542,160,45963,2016,Q3,69,Bronze,Computers and Home Office,2,665,565,"1,330",14914.53,1
748929,161,19614,2016,Q3,67,Bronze,Computers and Home Office,2,827,703,"1,654",16301.97,1
402156,162,71941,2016,Q3,62,Bronze,Computers and Home Office,2,261,222,522,23405.99,1
474170,163,13528,2016,Q3,68,Gold,Computers and Home Office,3,481,409,"1,443",6005.85,1
820224,164,23376,2016,Q3,63,Bronze,Computers and Home Office,1,"1,052",894,"1,052",2867.31,1
925394,165,45331,2016,Q3,54,Bronze,Computers and Home Office,2,724,615,"1,448",32227.08,1
740513,166,47451,2016,Q3,62,Bronze,Computers and Home Office,6,573,487,"3,438",6802.07,1
514552,167,26802,2016,Q3,48,Bronze,Computers and Home Office,5,101,86,505,4636.55,1
955716,168,41479,2016,Q3,69,Bronze,Computers and Home Office,1,"1,179","1,002","1,179",3746.75,1
217023,169,0,2016,Q3,62,Bronze,Computers and Home Office,3,937,796,"2,811",9022.08,1
289365,170,38772,2016,Q3,40,Gold,Computers and Home Office,2,"1,461","1,242","2,922",28393.33,1
873806,171,0,2016,Q3,28,Bronze,Computers and Home Office,3,"1,253","1,065","3,759",7757.13,1
944821,172,31278,2016,Q3,44,Bronze,Computers and Home Office,1,698,593,698,3528.04,1
210746,173,44934,2016,Q3,67,Bronze,Computers and Home Office,4,143,122,572,4869.28,1
265082,174,89420,2016,Q3,29,Bronze,Computers and Home Office,2,437,371,874,8100.24,1
251141,175,77265,2016,Q3,52,Bronze,Computers and Home Office,3,833,708,"2,499",5577.24,1
478461,176,0,2016,Q3,62,Bronze,Computers and Home Office,9,112,95,"1,008",7164.01,1
488646,177,71034,2016,Q3,30,Bronze,Computers and Home Office,3,"1,303","1,108","3,909",8283.07,1
225807,178,79955,2016,Q3,63,Gold,Computers and Home Office,6,"1,375","1,169","8,250",5733.21,1
172233,179,19382,2016,Q3,64,Silver,Computers and Home Office,2,360,306,720,10758.66,1
949890,180,87485,2016,Q3,35,Bronze,Computers and Home Office,1,765,650,765,3694.15,1
709776,181,96162,2016,Q3,57,Silver,Computers and Home Office,4,906,770,"3,624",7758.59,1
864832,182,40870,2016,Q3,44,Bronze,Computers and Home Office,2,445,378,890,12731.95,1
923049,183,98912,2016,Q3,70,Bronze,Computers and Home Office,2,865,735,"1,730",16553.23,1
316338,184,0,2016,Q3,29,Bronze,Computers and Home Office,1,348,296,348,2525.42,1
728818,185,86451,2016,Q3,60,Gold,Computers and Home Office,3,459,390,"1,377",5191.45,1
331417,186,0,2016,Q3,52,Elite,Computers and Home Office,2,245,208,490,26999.68,1
832669,187,91774,2016,Q3,54,Bronze,Computers and Home Office,1,970,825,970,3226.52,1
649054,188,47747,2016,Q3,58,Bronze,Computers and Home Office,1,"1,444","1,227","1,444",4379.77,1
978681,189,25949,2016,Q3,38,Bronze,Computers and Home Office,3,324,275,972,8099.84,1
847198,190,63267,2016,Q3,54,Bronze,Computers and Home Office,8,191,162,"1,528",7247.21,1
438731,191,54702,2016,Q3,67,Silver,Computers and Home Office,1,"1,453","1,235","1,453",8019.86,1
326810,192,69555,2016,Q3,34,Bronze,Computers and Home Office,1,636,541,636,3673.53,1
101958,193,36889,2016,Q3,44,Bronze,Computers and Home Office,3,"1,017",864,"3,051",5860.48,1
131469,194,41842,2016,Q3,51,Bronze,Computers and Home Office,1,338,287,338,2410.5,1
106190,195,85942,2016,Q3,60,Bronze,Computers and Home Office,5,617,524,"3,085",9114.28,1
950548,196,48887,2016,Q3,32,Bronze,Computers and Home Office,1,187,159,187,3788.65,1
803638,197,30503,2016,Q3,62,Bronze,Computers and Home Office,5,"1,185","1,007","5,925",4897.98,1
529733,198,29660,2016,Q3,54,Bronze,Computers and Home Office,1,762,648,762,4426.1,1
732633,199,19864,2016,Q3,46,Bronze,Computers and Home Office,1,785,667,785,2359.42,1
931657,200,52735,2016,Q3,41,Elite,Computers and Home Office,2,127,108,254,10357.63,1
888205,201,29735,2016,Q3,67,Silver,Computers and Home Office,1,444,377,444,2453.57,1
545947,202,69959,2016,Q3,53,Gold,Computers and Home Office,2,436,371,872,7553.23,1
843666,203,86305,2016,Q3,64,Elite,Computers and Home Office,5,111,94,555,4984.62,1
967984,204,25398,2016,Q3,61,Bronze,Computers and Home Office,3,706,600,"2,118",5878.45,1
629966,205,75556,2016,Q3,35,Silver,Computers and Home Office,1,409,348,409,3329.89,1
481987,206,77025,2016,Q3,56,Bronze,Computers and Home Office,3,33,28,99,5104.35,1
318481,207,59098,2016,Q3,41,Bronze,Computers and Home Office,3,379,322,"1,137",8688.75,1
280074,208,57016,2016,Q3,38,Bronze,Computers and Home Office,3,378,321,"1,134",9551.17,1
561348,209,73536,2016,Q3,67,Silver,Computers and Home Office,6,167,142,"1,002",5419.46,1
209102,210,64396,2016,Q3,36,Silver,Computers and Home Office,2,"1,324","1,125","2,648",16373.73,1
621695,211,65794,2016,Q3,41,Elite,Computers and Home Office,1,"1,402","1,192","1,402",2758.5,1
816619,212,59665,2016,Q3,41,Bronze,Computers and Home Office,1,576,490,576,2409.76,1
645491,213,88768,2016,Q3,62,VIP,Computers and Home Office,7,605,514,"4,235",5499.45,1
187175,214,0,2016,Q3,43,Gold,Computers and Home Office,2,"1,418","1,205","2,836",12564.07,1
814473,215,0,2016,Q3,45,Gold,Computers and Home Office,1,76,65,76,3467.32,1
768255,216,48567,2016,Q3,51,Bronze,Computers and Home Office,1,702,597,702,5015.01,1
541154,217,0,2016,Q3,38,Bronze,Computers and Home Office,1,"1,120",952,"1,120",4473.88,1
331939,218,68004,2016,Q3,59,Elite,Computers and Home Office,3,294,250,882,5595.76,1
368397,219,75248,2016,Q3,30,Bronze,Computers and Home Office,5,"1,124",955,"5,620",5011.26,1
248874,220,84629,2016,Q3,67,Bronze,Computers and Home Office,5,"1,287","1,094","6,435",7291.6,1
319290,221,30383,2016,Q3,62,Bronze,Computers and Home Office,1,"1,112",945,"1,112",4655.21,1
154172,222,23815,2016,Q3,59,Bronze,Computers and Home Office,2,"1,096",932,"2,192",8257.67,1
989906,223,78532,2016,Q3,66,Bronze,Computers and Home Office,3,157,133,471,6323.92,1
323099,224,13037,2016,Q3,44,Gold,Computers and Home Office,1,815,693,815,4726.87,1
155176,225,21927,2016,Q3,44,Bronze,Computers and Home Office,2,715,608,"1,430",25002.02,1
950272,226,82414,2016,Q3,44,Gold,Computers and Home Office,1,32,27,32,3816.41,1
515905,227,22562,2016,Q3,52,Bronze,Computers and Home Office,1,32,27,32,2584.2,1
266097,228,72834,2016,Q3,53,Bronze,Computers and Home Office,1,106,90,106,2464.24,1
578603,229,86195,2016,Q3,53,Gold,Computers and Home Office,3,653,555,"1,959",11281.52,1
535528,230,20217,2016,Q3,43,Elite,Computers and Home Office,1,"1,057",898,"1,057",3796.55,1
246501,231,11828,2016,Q3,62,Bronze,Computers and Home Office,2,"1,078",916,"2,156",10083.49,1
954969,232,0,2016,Q3,44,Bronze,Computers and Home Office,7,671,570,"4,697",7341.86,1
482694,233,0,2016,Q3,50,Bronze,Computers and Home Office,4,121,103,484,5162.12,1
515158,234,48263,2016,Q3,31,Bronze,Computers and Home Office,1,624,530,624,4142.56,1
556004,235,56980,2016,Q3,50,Bronze,Computers and Home Office,7,356,303,"2,492",6689.02,1
505650,236,51066,2016,Q3,33,Silver,Computers and Home Office,8,275,234,"2,200",5780.18,1
376072,237,90804,2016,Q3,61,Elite,Computers and Home Office,5,619,526,"3,095",9122.93,1
516984,238,48131,2016,Q3,59,Bronze,Computers and Home Office,3,910,774,"2,730",6405.74,1
530870,239,47325,2016,Q3,50,Gold,Computers and Home Office,6,87,74,522,8534.79,1
741340,240,0,2016,Q3,60,Silver,Computers and Home Office,2,131,111,262,7371.59,1
611474,241,0,2016,Q3,64,Bronze,Computers and Home Office,7,689,586,"4,823",5123.77,1
177109,242,81883,2016,Q3,70,Bronze,Computers and Home Office,1,"1,447","1,230","1,447",4654.58,1
307851,243,31532,2016,Q3,70,Silver,Computers and Home Office,1,599,509,599,3038.11,1
986217,244,19864,2016,Q3,26,Bronze,Computers and Home Office,1,717,609,717,2359.42,1
730957,245,25998,2016,Q3,63,Gold,Computers and Home Office,2,"1,377","1,170","2,754",8382.48,1
605127,246,20978,2016,Q3,69,Gold,Computers and Home Office,1,419,356,419,3508.57,1
629467,247,0,2016,Q3,66,Bronze,Computers and Home Office,5,"1,257","1,068","6,285",16320.77,1
306270,248,0,2016,Q3,52,Elite,Computers and Home Office,1,"1,455","1,237","1,455",4313.34,1
185275,249,67186,2016,Q3,40,Bronze,Computers and Home Office,2,867,737,"1,734",7850.13,1
788159,250,69050,2016,Q3,61,Bronze,Computers and Home Office,3,476,405,"1,428",5375.84,1
442444,251,58703,2016,Q3,46,Bronze,Computers and Home Office,6,"1,167",992,"7,002",9927.88,1
909490,252,33288,2016,Q3,61,Bronze,Computers and Home Office,9,661,562,"5,949",6756.65,1
539127,253,21947,2016,Q3,68,Bronze,Computers and Home Office,1,"1,264","1,074","1,264",3289.13,1
105834,254,83195,2016,Q3,47,Bronze,Computers and Home Office,1,545,463,545,2937.42,1
882435,255,54668,2016,Q3,55,Bronze,Computers and Home Office,6,359,305,"2,154",5345.68,1
383755,256,0,2016,Q3,31,Silver,Computers and Home Office,1,412,350,412,2152.08,1
981674,257,88079,2016,Q3,43,Silver,Computers and Home Office,3,"1,414","1,202","4,242",4864.38,1
371316,258,0,2016,Q3,45,Bronze,Computers and Home Office,1,"1,154",981,"1,154",3857.95,1
441964,259,0,2016,Q3,50,Elite,Computers and Home Office,3,382,325,"1,146",6033.22,1
784529,260,25927,2016,Q3,51,Silver,Computers and Home Office,1,101,86,101,3933.81,1
479500,261,43440,2016,Q3,66,Bronze,Computers and Home Office,7,168,143,"1,176",5906.94,1
470076,262,0,2016,Q3,27,Bronze,Computers and Home Office,2,388,330,776,18361.56,1
459477,263,22705,2016,Q3,65,Bronze,Computers and Home Office,7,459,390,"3,213",19160.99,1
675021,264,24410,2016,Q3,68,Elite,Computers and Home Office,2,"1,270","1,080","2,540",25107.1,1
530233,265,21514,2016,Q3,46,Gold,Computers and Home Office,2,270,230,540,11981.98,1
693454,266,36218,2016,Q3,46,Elite,Computers and Home Office,1,49,42,49,2730.31,1
883737,267,49853,2016,Q3,50,Bronze,Computers and Home Office,1,"1,374","1,168","1,374",4257.48,1
700066,268,36839,2016,Q3,64,Bronze,Computers and Home Office,3,"1,115",948,"3,345",4862.91,1
939817,269,44368,2016,Q3,50,Bronze,Computers and Home Office,3,"1,444","1,227","4,332",6366.23,1
732088,270,49714,2016,Q3,62,Bronze,Computers and Home Office,4,917,779,"3,668",4970.36,1
949829,271,50414,2016,Q3,43,VIP,Computers and Home Office,1,385,327,385,2757.38,1
354923,272,0,2016,Q3,49,Bronze,Computers and Home Office,8,55,47,440,5380.09,1
404614,273,26487,2016,Q3,53,Elite,Computers and Home Office,3,"1,357","1,153","4,071",7998.35,1
441541,274,24164,2016,Q3,52,Bronze,Computers and Home Office,5,868,738,"4,340",10972.07,1
378031,275,81850,2016,Q3,38,Bronze,Computers and Home Office,1,409,348,409,5275.06,1
851499,276,0,2016,Q3,47,Gold,Computers and Home Office,6,"1,310","1,114","7,860",6187.35,1
235693,277,64255,2016,Q3,35,Bronze,Computers and Home Office,8,348,296,"2,784",5543.8,1
278129,278,50516,2016,Q3,58,Bronze,Computers and Home Office,1,450,383,450,2480.49,1
905686,279,24723,2016,Q3,62,Elite,Computers and Home Office,5,"1,448","1,231","7,240",10295.47,1
258102,280,31278,2016,Q3,55,Bronze,Computers and Home Office,1,451,383,451,3528.04,1
131155,281,60607,2016,Q3,66,Bronze,Computers and Home Office,1,772,656,772,3337.98,1
475691,282,0,2016,Q3,51,VIP,Computers and Home Office,2,85,72,170,13197.93,1
454768,283,0,2016,Q3,38,Gold,Computers and Home Office,3,565,480,"1,695",4524.64,1
173294,284,88545,2016,Q3,51,Bronze,Computers and Home Office,1,"1,430","1,216","1,430",2714.65,1
